,BaciaCodigo,SubBaciaCodigo,RioCodigo
28249,5,56,56570000.0
28250,5,56,56575010.0
28252,5,56,56575015.0
28253,5,56,56575015.0
28254,5,56,56575020.0
28255,5,56,56575020.0
28256,5,56,56575025.0
28257,5,56,56575001.0
28258,5,56,56575001.0
28259,5,56,56575001.0
28260,5,56,56575010.0
28261,5,56,56575010.0
28433,5,56,56350000.0
28438,5,56,56350000.0
28439,5,56,56001000.0
28440,5,56,56001000.0
28441,5,56,56001000.0
28442,5,56,56470000.0
28446,5,56,56400000.0
28447,5,56,56460000.0
28448,5,56,56470000.0
28449,5,56,56400000.0
28450,5,56,56432000.0
28451,5,56,56460000.0
28452,5,56,56400000.0
28453,5,56,56400000.0
28454,5,56,56400000.0
28455,5,56,56400000.0
28456,5,56,56400000.0
28457,5,56,56400000.0
28458,5,56,56400000.0
28459,5,56,56400000.0
28460,5,56,56400000.0
28461,5,56,56400000.0
28462,5,56,56400000.0
28463,5,56,56474000.0
28464,5,56,56474000.0
28465,5,56,56470000.0
28466,5,56,56470000.0
28467,5,56,56521000.0
28468,5,56,56001000.0
28469,5,56,56001000.0
28470,5,56,56001000.0
28471,5,56,56522000.0
28491,5,56,56523000.0
28493,5,56,56523000.0
28494,5,56,56520000.0
28495,5,56,56520000.0
28496,5,56,56520000.0
28497,5,56,56001000.0
28498,5,56,56001000.0
28499,5,56,56524000.0
28500,5,56,56523500.0
28501,5,56,56525000.0
28502,5,56,56001000.0
28503,5,56,56001000.0
28504,5,56,56001000.0
28530,5,56,56534000.0
28534,5,56,56530000.0
28535,5,56,56530000.0
28536,5,56,56530000.0
28553,5,56,56534000.0
28554,5,56,56534000.0
28555,5,56,56534000.0
28556,5,56,56530000.0
28557,5,56,56530000.0
28558,5,56,56530000.0
28559,5,56,56530000.0
28560,5,56,56530000.0
28561,5,56,56535000.0
28562,5,56,56001000.0
28563,5,56,56001000.0
28564,5,56,56001000.0
28565,5,56,56001000.0
28566,5,56,56001000.0
28567,5,56,56001000.0
28568,5,56,56001000.0
28569,5,56,56540000.0
28570,5,56,56540000.0
28571,5,56,56540000.0
28572,5,56,56540000.0
28573,5,56,56540000.0
28574,5,56,56540000.0
28575,5,56,56001000.0
28576,5,56,56540000.0
28577,5,56,56540000.0
28578,5,56,56540000.0
28579,5,56,56540000.0
28580,5,56,56540000.0
28581,5,56,56540000.0
28582,5,56,56540000.0
28583,5,56,56540000.0
28584,5,56,56001000.0
28585,5,56,56001000.0
28586,5,56,56001000.0
28587,5,56,56542000.0
28588,5,56,56542000.0
28589,5,56,56550000.0
28590,5,56,56550000.0
28591,5,56,56550000.0
28592,5,56,56550000.0
28593,5,56,56550000.0
28594,5,56,56550000.0
28595,5,56,56540000.0
28596,5,56,56550000.0
28597,5,56,56550000.0
28598,5,56,56550000.0
28599,5,56,56560600.0
28600,5,56,56561000.0
28601,5,56,56561000.0
28602,5,56,56561000.0
28603,5,56,56001000.0
28604,5,56,56001000.0
28605,5,56,56001000.0
28606,5,56,56001000.0
28607,5,56,56001000.0
28608,5,56,56001000.0
28609,5,56,56001000.0
28610,5,56,56564000.0
28611,5,56,56564800.0
28612,5,56,56564000.0
28613,5,56,56564000.0
28614,5,56,56564000.0
28615,5,56,56564000.0
28616,5,56,56575000.0
28617,5,56,56575000.0
28618,5,56,56575000.0
28619,5,56,56575000.0
28620,5,56,56575000.0
28621,5,56,56575000.0
28622,5,56,56575000.0
28623,5,56,56575000.0
28624,5,56,56575000.0
28625,5,56,56575000.0
28626,5,56,56575000.0
28627,5,56,56001000.0
28628,5,56,56001000.0
28629,5,56,56001000.0
28630,5,56,56001000.0
28631,5,56,56001000.0
28632,5,56,56575000.0
28633,5,56,56001000.0
28634,5,56,56001000.0
28635,5,56,56001000.0
28636,5,56,56576000.0
28637,5,57,57140000.0
28638,5,57,57140000.0
28639,5,57,57140000.0
28640,5,57,57100000.0
28641,5,57,57100000.0
28642,5,57,57100000.0
28643,5,57,57100000.0
28644,5,57,57100000.0
28645,5,57,57100000.0
28646,5,57,57100000.0
28647,5,57,57100000.0
28648,5,57,57100000.0
28649,5,57,57100000.0
28650,5,57,57100000.0
28651,5,57,57100000.0
28652,5,57,57150000.0
28653,5,57,57100000.0
28654,5,57,57200000.0
28655,5,57,57100820.0
28656,5,57,57200000.0
28657,5,57,57200000.0
28658,5,57,57200000.0
28659,5,57,57200000.0
28660,5,57,57200000.0
28661,5,57,57200000.0
28662,5,57,57200000.0
28663,5,57,57200000.0
28664,5,57,57200000.0
28665,5,57,57200000.0
28666,5,57,57200000.0
28667,5,57,57200000.0
28668,5,57,57200000.0
28669,5,57,57200000.0
28670,5,57,57230000.0
28671,5,57,57600000.0
28672,5,57,57600000.0
28673,5,57,57355550.0
28674,5,57,57355550.0
28675,5,57,57590000.0
28676,5,57,57590000.0
28677,5,57,57590000.0
28678,5,57,57200000.0
28679,5,57,57170000.0
28680,5,57,27310000.0
28681,5,57,57310000.0
28682,5,57,57240000.0
28683,5,57,57240000.0
28684,5,57,57240000.0
28685,5,57,57240000.0
28686,5,57,57315000.0
28687,5,57,57580000.0
28688,5,57,57580000.0
28689,5,57,57320000.0
28690,5,57,57320000.0
28691,5,57,57320000.0
28692,5,57,57324000.0
28693,5,57,57320000.0
28694,5,57,57320000.0
28695,5,57,57320000.0
28696,5,57,57320000.0
28697,5,57,57320000.0
28698,5,57,57340000.0
28699,5,57,57340000.0
28700,5,57,57340000.0
28701,5,57,57340000.0
28702,5,57,57340000.0
